description,severity
Suspicious spearphishing email detected,High
Detected activity: Suspicious spearphishing email detected,High
Suspicious spearphishing email detected detected on host system.,High
Suspicious spearphishing email detected was triggered on endpoint.,High
Phishing email containing malicious link,High
Detected activity: Phishing email containing malicious link,High
Phishing email containing malicious link found during analysis.,High
Suspicious behavior: Phishing email containing malicious link,High
Phishing email containing malicious attachment,Critical
Security event - Phishing email containing malicious attachment,Critical
Detected activity: Phishing email containing malicious attachment,Critical
Phishing email containing malicious attachment activity logged.,Critical
Suspicious HTML attachment execution attempt,High
Security event - Suspicious HTML attachment execution attempt,High
Alert generated: Suspicious HTML attachment execution attempt,High
System alert: Suspicious HTML attachment execution attempt,High
Malicious email macro execution detected,Critical
Malicious email macro execution detected detected on host system.,Critical
Security event - Malicious email macro execution detected,Critical
Detected activity: Malicious email macro execution detected,Critical
Drive-by compromise attempt via malicious website,Critical
Drive-by compromise attempt via malicious website activity logged.,Critical
Drive-by compromise attempt via malicious website observed by monitoring service.,Critical
Drive-by compromise attempt via malicious website found during analysis.,Critical
User visited known malicious watering hole site,High
User visited known malicious watering hole site was triggered on endpoint.,High
User visited known malicious watering hole site detected on host system.,High
System alert: User visited known malicious watering hole site,High
Exploit attempt on public-facing application detected,Critical
Exploit attempt on public-facing application detected found during analysis.,Critical
Exploit attempt on public-facing application detected observed by monitoring service.,Critical
Exploit attempt on public-facing application detected was triggered on endpoint.,Critical
SQL injection attack against login page,High
Security event - SQL injection attack against login page,High
SQL injection attack against login page was triggered on endpoint.,High
Detected activity: SQL injection attack against login page,High
Command injection attempt via web form,Critical
Command injection attempt via web form detected on host system.,Critical
Detected activity: Command injection attempt via web form,Critical
Suspicious behavior: Command injection attempt via web form,Critical
Cross-site scripting attack attempt detected,Medium
Suspicious behavior: Cross-site scripting attack attempt detected,Medium
Cross-site scripting attack attempt detected activity logged.,Medium
Cross-site scripting attack attempt detected observed by monitoring service.,Medium
Path traversal attempt to sensitive directory,High
Path traversal attempt to sensitive directory was triggered on endpoint.,High
Alert generated: Path traversal attempt to sensitive directory,High
Path traversal attempt to sensitive directory detected on host system.,High
